Tonight,"A slight chance of showers and thunderstorms before 10pm. Mostly cloudy, with a low around 66. West southwest wind around 9 mph. Chance of precipitation is 20%. New rainfall amounts between a tenth and quarter of an inch possible."
Friday,"Partly sunny. High near 77, with temperatures falling to around 75 in the afternoon. Northwest wind 7 to 12 mph, with gusts as high as 18 mph."
Friday Night,"Mostly cloudy, with a low around 63. North wind 7 to 10 mph."
Saturday,"Mostly sunny, with a high near 73. North wind around 10 mph."
Saturday Night,"Partly cloudy, with a low around 63. North wind 5 to 10 mph."
Sunday,"Mostly sunny, with a high near 73."
Sunday Night,"Mostly cloudy, with a low around 64."
Monday,"Mostly sunny, with a high near 74."
Monday Night,"Mostly clear, with a low around 65."
Tuesday,"Sunny, with a high near 75."
Tuesday Night,"Mostly clear, with a low around 65."
Wednesday,"Sunny, with a high near 77."
Wednesday Night,"Mostly clear, with a low around 67."
Thursday,"A chance of rain showers after 1pm. Mostly sunny, with a high near 81. Chance of precipitation is 30%."
