Date,Mean Temperature
2024-07-01,16.8
2024-07-02,21.2
2024-07-03,25.7
2024-07-04,24.0
2024-07-05,23.2
2024-07-06,21.0
2024-07-07,22.8
2024-07-08,24.8
2024-07-09,22.8
2024-07-10,21.4
2024-07-11,20.7
2024-07-12,21.6
2024-07-13,23.9
2024-07-14,25.9
2024-07-15,25.9
2024-07-16,25.3
2024-07-17,22.7
2024-07-18,19.2
2024-07-19,19.3
2024-07-20,20.8
2024-07-21,21.6
2024-07-22,21.8
2024-07-23,23.0
2024-07-24,21.2
2024-07-25,20.3
2024-07-26,20.5
2024-07-27,22.6
2024-07-28,23.4
2024-07-29,23.8
2024-07-30,24.6
2024-07-31,26.2
